Entity Type,File Number,Name
LLC     MST,3716244,"LARUE & DAUGHTER, LLC????"
LLC     MST,3073866,LEAR'S DAUGHTER LLC????
LLC     MST,3499421,LIKE MOTHER LIKE DAUGHTER LLC????
LLC     MST,1633724,"MAB SON & DAUGHTER, LLC????"
CORP MST,69875661,"MAGGIE'S DAUGHTER, INC.????"
CORP MST,58186244,MASONIC LODGE SOLOMAN TEMPLE #I DAUGHTER'S OF JEPHTHAH #7 ORDER OF EASTERN STAR????
CORP MST,55599149,"MEN-FAM DAUGHTER AND SONS, INC.????"
CORP MST,69528864,MOM & DAUGHTER STORE INC.????
CORP MST,71364615,"MOTHER-DAUGHTER CARE FOR SENIORS, INC.????"
CORP OLD,61950281,"MOTHER & DAUGHTER CLEANING SERVICES, INC.????"
CORP OLD,61950281,"MOTHER & DAUGHTER CLEANING SERVICES, INC.????"
CORP MST,61950281,"MOTHER & DAUGHTER CLEANING SERVICES, INC.????"
CORP MST,65405466,MOTHER & DAUGHTER CUSTOMER SERVICE CONSULTING COMPANY????
CORP MST,63197157,MOTHER/DAUGHTER DAY CARE INCORPORATED????
CORP MST,67637089,MOTHER DAUGHTER DIPS INC.????
LLC     MST,1750933,"MOTHER AND DAUGHTER, LLC????"
LLC     MST,5453879,"MOTHER -DAUGHTER, LLC????"
CORP MST,70388235,"MOTHER DAUGHTER LOVING CARE, INCORPORATED????"
LLC     MST,7030568,"MOTHER DAUGHTER TEAM, LLC????"
CORP MST,59732641,"MOTHER TO DAUGHTER GIFT SHOPS, INC.????"
CORP MST,56890696,"MY DAUGHTER AND I FIGURE SALON, INC.????"
LLC     MST,5552737,"MY DAUGHTER AND I, LLC????"
CORP MST,71786927,"MY DAUGHTER'S DRESS, INC.????"
CORP MST,55845077,"NAILS BY MARIA AND DAUGHTER, INC.????"
CORP MST,51780191,"OROZCO & DAUGHTER HEATING AND AIR CONDITIONING, INC.????"
LLC     MST,2462346,"OROZCO & DAUGHTER HEATING AND AIR CONDITIONING, LLC????"
CORP MST,60740003,"THE OTHER DAUGHTER, INCORPORATED????"
CORP MST,58083046,"PLANTER'S DAUGHTER TOURS, INC.????"
CORP MST,50537307,"REILLY'S DAUGHTER, INCORPORATED????"
LLC     ASE,5442931,REILLY'S DAUGHTER OF OAK LAWN????
LLC     MST,342572,RENT A DAUGHTER LLC????
LLC     MST,8085439,ROYALTY DAUGHTER DIGITAL MESSAGING LLC????
CORP MST,59589318,SANCHEZ & DAUGHTER CONSTRUCTION INC.????
CORP MST,70013673,"SANTANA & DAUGHTER, INC.????"
CORP MST,65199351,SANTANA AND DAUGHTER SCREEN PRINTING INC????
CORP MST,66124916,SANTANA & DAUGHTER WOMEN'S SOFTBALL LEAGUE????
CORP MST,66026647,SON AND DAUGHTER CHILD CARE CENTER????
CORP MST,69528473,"SON'S AND DAUGHTER'S OF THUNDER, INC.????"
CORP MST,63556491,SUBSTITUTE DAUGHTER INCORPORATED????
LLC     MST,7532806,SUCCESSFUL EVOLVING EDUCATED DAUGHTER'S LLC????
CORP OLD,14965041,SUPREME CALDRON OF THE DAUGHTER OF MOKANNA????
CORP MST,60892296,"THIS MOTHER'S DAUGHTER, INC.????"
CORP MST,64921746,TUSCAN DAUGHTER LTD.????
LLC     MST,5270375,"ULTIMATE DAUGHTER, LLC????"
CORP MST,69859585,UMOJA MOTHER AND DAUGHTER MINISTRY????
CORP MST,57436018,"WAGNER, SON & DAUGHTER, INC.????"
CORP MST,58182974,"WHITTLE'S DAUGHTER, INC.????"
CORP MST,63047724,"WILLIAMS & SONS & DAUGHTER, INC.????"
