Business ID,Type,Name,Name Type,Filing Date,Status
DB023871,CORP,DAUGHTERS COMPANY (SIOUX FALLS),Entity,30980,Cancelled
DB172230,CORP,Daughters Company,Entity,43766,Good Standing
DL007678,LLC,"THE FARMER'S DAUGHTER, LLC",Entity,38196,Dissolved (Administrative)
DL008721,LLC,"DAKOTA DAUGHTER ENTERPRISES, LLC",Entity,38407,Good Standing
DL047033,LLC,"DAUGHTERS PROPERTIES, LLC",Entity,42410,Good Standing
DL142459,LLC,Farmer's Daughter Boutique LLC,Entity,43111,Good Standing
DL171605,LLC,"DAUGHTERS PROPERTY, LLC",Entity,43753,Good Standing
DR000097,LLP,"DAD 'N DAUGHTER CREATIONS, LLP",Entity,35383,Cancelled
RL001210,RN,"Daughters Properties, LLC",Reserved,42300,Expired
UB136617,UB,The Farmer's Daughter,DBA - Business,42978,Active
UB954904,UB,The Farmer's Daughter,DBA - Business,40889,Expired
UB954976,UB,The Farmer's Daughter,DBA - Business,40898,Expired
UB960615,UB,Mother Daughter Events,DBA - Business,41585,Expired
